Wall time,Step,Value
1712809018.363532,842,0.38312315940856934
1712809023.3455727,843,0.10587850958108902
1712809042.009491,847,0.0873703882098198
1712809061.4483728,851,0.07676762342453003
1712809066.078769,852,0.2953541576862335
1712809085.0937748,856,0.05924719572067261
1712809090.109511,857,0.24675071239471436
1712809100.2158794,859,0.2123117446899414
1712809104.8651557,860,0.057627249509096146
1712809109.5368762,861,0.342142254114151
1712809119.261473,863,0.7570347189903259
1712809124.3605895,864,0.07257229834794998
1712809139.2143314,867,0.025551147758960724
1712809148.7293046,869,0.10167419165372849
1712809172.75531,874,0.19641397893428802
1712809177.8765426,875,0.1379452496767044
1712809192.4511576,878,0.2811570465564728
1712809206.6433027,881,0.028974169865250587
1712809220.9303772,884,0.05481579899787903
1712809230.2986042,886,0.0388905331492424
1712809244.635233,889,0.14044404029846191
1712809249.3062978,890,0.057318855077028275
1712809268.70515,894,0.07465726882219315
1712809273.8176234,895,0.04275936260819435
1712809336.133727,908,0.6496288180351257
1712809341.1791227,909,0.45327451825141907
1712809345.7576332,910,0.07115768641233444
1712809364.3491938,914,0.047494400292634964
1712809374.0675166,916,0.1524013727903366
1712809388.529743,919,0.07951903343200684
1712809398.2908933,921,0.09967696666717529
1712809403.022005,922,0.06169362738728523
1712809417.1089468,925,0.018485495820641518
1712809421.8312013,926,0.07345810532569885
1712809431.6042407,928,0.044680070132017136
1712809445.8735814,931,0.05765743553638458
1712809450.5682533,932,0.01665726862847805
1712809460.3432372,934,0.008304134011268616
1712809465.398148,935,0.012826759368181229
1712809478.8152466,938,0.08388587087392807
1712809498.3392167,942,0.14013424515724182
1712809503.4158652,943,0.057557228952646255
1712809513.4907699,945,0.6544824242591858
1712809523.4471936,947,0.025781085714697838
1712809542.5744503,951,0.2523820400238037
1712809547.281079,952,0.4128762185573578
1712809557.0629508,954,0.3203721046447754
1712809561.778433,955,0.020927729085087776
1712809566.4968572,956,0.07673164457082748
1712809571.5736525,957,0.3523537218570709
1712809580.3701358,959,0.027872972190380096
1712809598.7922165,963,0.03971593454480171
1712809608.4785385,965,0.11724702268838882
1712809613.1013186,966,0.06579577177762985
1712809627.9128852,969,0.2732802927494049
1712809647.4846253,973,0.2621660530567169
1712809661.5043128,976,0.015489735640585423
1712809675.7995276,979,0.47761210799217224
1712809680.3927095,980,0.2014521360397339
1712809698.9506476,984,0.03735877573490143
1712809708.496823,986,0.35751262307167053
1712809713.654534,987,0.2211936116218567
1712809723.3710856,989,0.038682084530591965
1712809732.8921206,991,0.06331168860197067
1712809737.560133,992,0.18081219494342804
1712809751.5640156,995,0.11899805068969727
1712809775.6125107,1000,0.01768089085817337
1712809785.350398,1002,0.021823519840836525
1712809789.9727843,1003,0.018039630725979805
1712809800.338213,1005,0.050118643790483475
1712809805.494296,1006,0.05314766243100166
1712809824.4637249,1010,0.014052134938538074
1712809843.5091002,1014,0.03791454806923866
1712809853.195916,1016,0.037724681198596954
1712809862.4038627,1018,0.07223548740148544
1712809872.56585,1020,0.3540460169315338
1712809881.889427,1022,0.12170597910881042
1712809886.466866,1023,0.03377987816929817
1712809901.0937748,1026,0.03370802849531174
1712809906.1083326,1027,0.21930642426013947
1712809910.7846406,1028,0.05609547719359398
1712809920.5940967,1030,0.04183879494667053
1712809944.6290615,1035,0.018180279061198235
1712809954.942055,1037,0.018433362245559692
1712809964.385555,1039,0.0806918740272522
1712809973.9531198,1041,0.470756858587265
1712809997.4409683,1046,0.27952709794044495
1712810016.6442413,1050,0.38498803973197937
1712810025.933534,1052,0.02764207124710083
1712810030.8967626,1053,0.24688053131103516
1712810059.8631954,1059,0.1709650307893753
1712810064.9462483,1060,0.3366757929325104
1712810069.672569,1061,0.08338246494531631
1712810074.6602545,1062,0.09265773743391037
1712810079.7427,1063,0.04075397178530693
1712810098.6397655,1067,0.2414148449897766
1712810113.4897568,1070,0.15900225937366486
1712810141.2083688,1076,0.020400360226631165
1712810145.8873816,1077,0.017285823822021484
1712810160.6570785,1080,0.020633244886994362
1712810170.156429,1082,0.5955511331558228
1712810174.8456292,1083,0.2046319842338562
1712810179.951981,1084,0.15536554157733917
1712810189.3311594,1086,0.474517822265625
1712810203.196962,1089,0.1738346815109253
1712810212.3656316,1091,0.6568820476531982
1712810221.7081742,1093,0.15330824255943298
1712810226.3967962,1094,0.18074274063110352
1712810231.110171,1095,0.14014606177806854
1712810235.6988149,1096,0.10535502433776855
1712810240.7914014,1097,0.10155508667230606
1712810245.4908946,1098,0.11371302604675293
1712810259.449918,1101,0.08224528282880783
1712810264.0510428,1102,0.1428951472043991
1712810273.671097,1104,0.06078151986002922
1712810278.2851477,1105,0.08938594907522202
1712810283.2966611,1106,0.08465743064880371
1712810297.64085,1109,0.0878182053565979
1712810302.6884758,1110,0.06021857261657715
1712810307.3350234,1111,0.03562457486987114
1712810326.1003964,1115,0.18436254560947418
1712810359.6773098,1122,0.19436568021774292
1712810369.0656905,1124,0.8553658127784729
1712810378.4720292,1126,0.13974207639694214
1712810383.6604595,1127,0.06944676488637924
1712810388.7595544,1128,1.1898837089538574
1712810403.2457843,1131,0.7070145606994629
1712810413.3136804,1133,0.37370502948760986
1712810422.6789305,1135,0.28789013624191284
1712810426.8378947,1136,0.1323070228099823
1712810436.6169565,1138,0.07771791517734528
1712810460.5529485,1143,0.12569116055965424
1712810469.9446793,1145,0.23114252090454102
1712810474.5881765,1146,0.08624989539384842
1712810488.6298041,1149,0.4804665744304657
1712810493.3159566,1150,0.39142119884490967
1712810502.6702642,1152,0.34188616275787354
1712810507.3173497,1153,0.12377192825078964
1712810517.2275906,1155,0.14521627128124237
1712810521.9120467,1156,0.3995204269886017
1712810531.1371121,1158,0.3140122592449188
1712810535.7327952,1159,0.37138083577156067
1712810540.8071344,1160,0.11320734769105911
1712810555.8435938,1163,0.3767874240875244
1712810570.5935984,1166,0.2428230494260788
1712810588.5926514,1170,0.18582649528980255
1712810598.277236,1172,0.19715356826782227
1712810607.8649812,1174,0.053124260157346725
1712810612.4958591,1175,0.6379403471946716
1712810617.6875296,1176,0.3179951608181
1712810622.841854,1177,0.08666100353002548
1712810655.3142598,1184,0.15201227366924286
1712810665.065993,1186,0.024762911722064018
1712810674.4712281,1188,0.0442240945994854
1712810689.3303492,1191,0.13377900421619415
1712810717.7698133,1197,0.057473983615636826
1712810722.8070164,1198,0.0497744083404541
1712810732.0524218,1200,0.011582027189433575
1712810736.7041008,1201,0.022811798378825188
1712810741.7595725,1202,0.08863633126020432
1712810760.9042475,1206,0.3537863790988922
1712810770.977923,1208,0.02920309267938137
1712810780.6250722,1210,0.01789955422282219
1712810790.8201046,1212,0.012522980570793152
1712810795.8930964,1213,0.01630590856075287
1712810800.4614282,1214,0.018302103504538536
1712810814.7132425,1217,0.3585694134235382
1712810819.3055158,1218,0.21659044921398163
1712810824.0374477,1219,0.2033243030309677
1712810833.4774415,1221,0.06480754166841507
1712810838.0403054,1222,0.4544738531112671
1712810852.3120513,1225,0.021360164508223534
1712810871.447804,1229,0.09838744252920151
1712810876.019841,1230,0.12580330669879913
1712810880.7381587,1231,0.1564413160085678
1712810890.358137,1233,0.10934174060821533
1712810909.332858,1237,0.011615574359893799
1712810914.4274585,1238,0.1811765879392624
1712810932.5623043,1242,0.0770011618733406
1712810955.9406793,1247,0.022489920258522034
1712810966.2492826,1249,0.08368418365716934
1712810985.0282452,1253,0.02218002639710903
1712810999.0331295,1256,0.04309723153710365
1712811004.0175111,1257,0.08051512390375137
1712811028.8585956,1262,0.07913460582494736
1712811038.312335,1264,0.07911612838506699
1712811047.980367,1266,0.19294893741607666
1712811052.6301806,1267,0.1433214247226715
1712811057.3003478,1268,0.06315084546804428
1712811066.5927753,1270,0.03922351077198982
1712811080.477509,1273,0.07751760631799698
1712811085.1254177,1274,0.33292219042778015
1712811089.8609407,1275,0.32494649291038513
1712811094.554754,1276,0.018123799934983253
1712811103.805476,1278,0.3565148115158081
1712811113.7042677,1280,0.04952722415328026
1712811118.4642587,1281,0.23091678321361542
1712811132.5958295,1284,0.11075901240110397
1712811137.7775245,1285,0.5421711802482605
1712811166.366111,1291,0.03408268466591835
1712811183.858304,1295,0.558025598526001
1712811207.8958914,1300,0.07244706898927689
1712811212.5870764,1301,0.24689574539661407
1712811217.2093115,1302,0.025219449773430824
1712811237.030336,1306,0.0751708522439003
1712811251.4709535,1309,0.05255071446299553
1712811274.6353905,1314,0.4024207293987274
1712811288.9486656,1317,0.240407332777977
1712811312.3535469,1322,0.09163608402013779
1712811317.5189545,1323,0.15442810952663422
